Time_panda2 bufferSize_panda2 hasThroughput_panda2 estimatedBW_panda2 videoLevel_panda2 tcpThroughput_panda2
0.20 22 0.00 4535.20 3050 0.00
0.20 21 4730.00 4535.20 3050 0.00
0.20 22 0.00 4635.02 3050 0.00
0.20 23 0.00 4746.89 3050 0.00
0.20 22 784.00 4746.89 3050 0.00
0.20 23 0.00 4860.65 3050 0.00
0.21 22 1048.00 4860.65 3050 0.00
0.21 23 0.00 4981.03 3050 0.00
0.21 22 849.00 4981.03 3050 0.00
0.21 21 5710.00 4981.03 3050 0.00
0.21 22 0.00 5004.61 3050 0.00
0.21 21 3198.00 5004.61 4250 0.00
0.21 22 0.00 5065.84 4250 0.00
0.21 21 797.00 5065.84 4250 0.00
0.21 20 7753.00 5065.84 4250 0.00
0.21 21 0.00 5156.62 4250 0.00
0.22 20 4296.00 5156.62 4250 0.00
0.22 21 0.00 5159.46 4250 0.00
0.22 20 1396.00 5159.46 4250 0.00
0.22 19 5652.00 5159.46 4250 0.00
0.22 20 0.00 5078.12 4250 0.00
0.22 19 2093.00 5078.12 4250 0.00
0.22 18 6914.00 5078.12 4250 0.00
0.22 19 205.00 5046.93 4250 0.00
0.22 18 5001.00 5046.93 4250 0.00
0.23 19 0.00 5080.00 4250 0.00
0.23 18 3821.00 5080.00 4250 0.00
0.23 19 0.00 5159.38 4250 0.00
0.23 18 3141.00 5159.38 4250 0.00
0.23 19 0.00 5272.61 4250 0.00
0.23 18 3907.00 5272.61 4250 0.00
0.23 19 0.00 5409.60 4250 0.00
0.23 18 5005.00 5409.60 4250 0.00
0.23 19 0.00 5566.06 4250 0.00
0.23 18 6107.00 5566.06 4250 0.00
0.23 19 1048.00 5735.14 4250 0.00
0.24 18 7102.00 5735.14 4250 0.00
0.24 19 1360.00 5818.43 4250 0.00
0.24 18 6660.00 5818.43 4250 0.00
0.24 19 1048.00 5758.97 4250 0.00
0.24 18 6348.00 5758.97 4250 0.00
0.24 19 1048.00 5699.64 4250 0.00
0.24 18 5882.00 5699.64 4250 0.00
0.24 19 750.00 5649.15 4250 0.00
0.24 18 5271.00 5649.15 4250 0.00
0.24 19 98.00 5607.68 4250 0.00
0.25 18 4899.00 5607.68 4250 0.00
0.25 19 0.00 5573.14 4250 0.00
0.25 18 4190.00 5573.14 4250 0.00
0.25 19 0.00 5545.34 4250 0.00
0.25 18 4190.00 5545.34 4250 0.00
0.25 19 0.00 5522.55 4250 0.00
0.25 18 3362.00 5522.55 4250 0.00
0.25 19 0.00 5504.25 4250 0.00
0.25 18 3141.00 5504.25 4250 0.00
0.26 19 0.00 5488.90 4250 0.00
0.26 18 3158.00 5488.90 4250 0.00
0.26 19 0.00 5368.84 4250 0.00
0.26 18 2801.00 5368.84 4250 0.00
0.26 17 7335.00 5368.84 4250 0.00
0.26 18 1810.00 5238.65 4250 0.00
0.26 17 6287.00 5238.65 4250 0.00
0.26 18 548.00 5134.72 4250 0.00
0.26 17 5238.00 5134.72 4250 0.00
0.26 18 0.00 5052.18 4250 0.00
0.27 17 3883.00 5052.18 4250 0.00
0.27 18 0.00 4986.55 4250 0.00
0.27 17 3141.00 4986.55 4250 0.00
0.27 16 8474.00 4986.55 4250 0.00
0.27 17 2887.00 4934.64 4250 0.00
0.27 16 7376.00 4934.64 4250 0.00
