Time_panda bufferSize_panda hasThroughput_panda estimatedBW_panda videoLevel_panda tcpThroughput_panda
0.14 11 0.00 3597.41 3050 0.00
0.14 10 5632.00 3597.41 3050 0.00
0.14 13 0.00 3338.92 3050 0.00
0.14 14 64.00 3292.85 3050 0.00
0.14 13 5623.00 3292.85 3050 0.00
0.15 16 0.00 3325.05 3050 0.00
0.15 17 0.00 3381.85 3050 0.00
0.15 16 4321.00 3381.85 3050 0.00
0.15 17 2789.00 3459.34 3050 0.00
0.15 18 0.00 3560.07 3050 0.00
0.15 17 6090.00 3560.07 3050 0.00
0.15 18 4456.00 3677.31 3050 0.00
0.15 19 463.00 3803.13 3050 0.00
0.15 20 0.00 3931.90 3050 0.00
0.15 19 5226.00 3931.90 3050 0.00
0.16 20 1384.00 4059.18 3050 0.00
0.16 21 0.00 4185.26 3050 0.00
0.16 20 5189.00 4185.26 3050 0.00
0.16 21 325.00 4310.39 3050 0.00
0.16 22 0.00 4434.75 3050 0.00
0.16 21 1048.00 4434.75 3050 0.00
0.16 20 3158.00 4434.75 3050 0.00
0.16 21 0.00 4343.79 3050 0.00
0.16 20 2265.00 4343.79 3050 0.00
0.17 19 4739.00 4343.79 3050 0.00
0.17 20 0.00 4028.46 3050 0.00
0.17 19 3059.00 4028.46 3050 0.00
0.17 20 0.00 3843.07 3050 0.00
0.17 19 1048.00 3843.07 3050 0.00
0.17 18 4153.00 3843.07 3050 0.00
0.17 19 0.00 3654.12 3050 0.00
0.17 18 2060.00 3654.12 3050 0.00
0.17 17 4562.00 3654.12 3050 0.00
0.17 18 0.00 3477.85 3050 0.00
0.17 17 2301.00 3477.85 3050 0.00
0.18 16 5230.00 3477.85 3050 0.00
0.18 17 458.00 3310.72 3050 0.00
0.18 16 3137.00 3310.72 3050 0.00
0.18 15 5734.00 3310.72 3050 0.00
0.18 16 1048.00 3148.77 3050 0.00
0.18 15 5246.00 3148.77 3050 0.00
0.18 16 2093.00 3100.16 3050 0.00
0.18 17 0.00 3120.51 3050 0.00
0.18 16 6029.00 3120.51 3050 0.00
0.18 17 3772.00 3175.53 3050 0.00
0.19 18 0.00 3251.57 3050 0.00
0.19 17 5042.00 3251.57 3050 0.00
0.19 18 861.00 3344.42 3050 0.00
0.19 17 6013.00 3344.42 3050 0.00
0.19 18 2367.00 3454.61 3050 0.00
0.19 19 0.00 3581.51 3050 0.00
0.19 20 0.00 3721.74 3050 0.00
0.19 19 2162.00 3721.74 3050 0.00
0.19 20 0.00 3858.18 3050 0.00
0.20 19 3141.00 3858.18 3050 0.00
0.20 20 0.00 3995.69 3050 0.00
0.20 19 4894.00 3995.69 3050 0.00
0.20 20 0.00 4148.71 3050 0.00
0.20 21 0.00 4307.04 3050 0.00
0.20 20 4911.00 4307.04 3050 0.00
0.20 21 0.00 4457.96 3050 0.00
0.20 20 2658.00 4457.96 3050 0.00
0.20 19 5226.00 4457.96 3050 0.00
0.20 20 0.00 4346.94 3050 0.00
0.20 19 2937.00 4346.94 3050 0.00
0.21 18 5562.00 4346.94 3050 0.00
0.21 19 660.00 3938.69 3050 0.00
0.21 18 3137.00 3938.69 3050 0.00
0.21 19 0.00 3688.78 3050 0.00
0.21 18 1048.00 3688.78 3050 0.00
0.21 17 3174.00 3688.78 3050 0.00
0.21 18 0.00 3418.49 3050 0.00
0.21 17 1048.00 3418.49 3050 0.00
0.21 16 3739.00 3418.49 3050 0.00
0.21 17 0.00 3236.34 3050 0.00
0.22 16 2003.00 3236.34 3050 0.00
0.22 15 4186.00 3236.34 3050 0.00
0.22 16 0.00 3051.79 3050 0.00
0.22 15 2126.00 3051.79 3050 0.00
0.22 14 4751.00 3051.79 3050 0.00
0.22 15 2093.00 2918.41 1950 0.00
0.22 16 3141.00 2898.42 1950 0.00
0.22 19 0.00 2950.64 1950 0.00
0.22 20 0.00 3007.13 1950 0.00
0.23 19 3354.00 3007.13 1950 0.00
0.23 20 2093.00 3082.27 1950 0.00
0.23 21 0.00 3169.59 1950 0.00
0.23 22 0.00 3266.73 1950 0.00
0.23 21 3125.00 3266.73 1950 0.00
0.23 22 0.00 3371.79 1950 0.00
0.23 23 0.00 3483.59 1950 0.00
0.23 22 2404.00 3483.59 1950 0.00
0.23 23 0.00 3600.79 1950 0.00
0.23 22 1167.00 3600.79 3050 0.00
0.23 21 5513.00 3600.79 3050 0.00
0.24 22 0.00 3722.26 3050 0.00
0.24 21 3248.00 3722.26 3050 0.00
0.24 22 0.00 3863.16 3050 0.00
0.24 21 2805.00 3863.16 3050 0.00
0.24 22 0.00 4019.56 3050 0.00
0.24 21 2093.00 4019.56 3050 0.00
0.24 20 4960.00 4019.56 3050 0.00
0.24 21 0.00 3955.49 3050 0.00
0.24 20 2387.00 3955.49 3050 0.00
0.24 19 5546.00 3955.49 3050 0.00
0.25 20 0.00 3850.47 3050 0.00
0.25 19 3158.00 3850.47 3050 0.00
0.25 18 5820.00 3850.47 3050 0.00
0.25 19 0.00 3670.36 3050 0.00
0.25 18 3305.00 3670.36 3050 0.00
0.25 17 5918.00 3670.36 3050 0.00
0.25 18 904.00 3485.68 3050 0.00
0.25 17 3985.00 3485.68 3050 0.00
0.25 18 0.00 3311.60 3050 0.00
0.26 17 1171.00 3311.60 3050 0.00
0.26 16 4186.00 3311.60 3050 0.00
0.26 17 0.00 3148.46 3050 0.00
0.26 16 2093.00 3148.46 3050 0.00
0.26 15 4194.00 3148.46 3050 0.00
0.26 16 0.00 2950.03 1950 0.00
0.26 15 3875.00 2950.03 1950 0.00
0.26 18 0.00 2868.53 1950 0.00
0.26 19 467.00 2886.22 1950 0.00
0.26 20 0.00 2930.11 1950 0.00
0.27 21 0.00 2989.05 1950 0.00
0.27 20 3305.00 2989.05 1950 0.00
0.27 21 887.00 3063.95 1950 0.00
0.27 22 0.00 3147.69 1950 0.00
0.27 23 0.00 3234.64 1950 0.00
0.27 22 3444.00 3234.64 1950 0.00
0.27 23 0.00 3320.30 1950 0.00
0.27 24 0.00 3404.92 1950 0.00
0.27 23 2740.00 3404.92 1950 0.00
0.27 24 0.00 3488.71 1950 0.00
0.28 25 0.00 3571.80 1950 0.00
0.28 24 1224.00 3571.80 1950 0.00
0.28 25 0.00 3654.37 1950 0.00
0.28 24 0.00 3654.37 3050 0.00
0.28 23 5419.00 3654.37 3050 0.00
0.28 24 0.00 3736.52 3050 0.00
0.28 23 1831.00 3736.52 3050 0.00
0.28 24 0.00 3840.98 3050 0.00
0.28 23 0.00 3840.98 3050 0.00
0.28 24 0.00 3948.81 3050 0.00
0.28 23 0.00 3948.81 3050 0.00
0.29 24 0.00 4059.33 3050 0.00
0.29 23 0.00 4059.33 3050 0.00
0.29 24 0.00 4172.01 3050 0.00
0.29 23 0.00 4172.01 3050 0.00
0.29 24 0.00 4286.41 3050 0.00
0.29 23 0.00 4286.41 3050 0.00
0.29 22 3354.00 4286.41 3050 0.00
0.29 23 0.00 4404.97 3050 0.00
0.29 22 2093.00 4404.97 3050 0.00
0.29 23 0.00 4473.16 3050 0.00
0.30 22 1585.00 4473.16 3050 0.00
0.30 23 0.00 4571.56 3050 0.00
0.30 22 505.00 4571.56 3050 0.00
0.30 23 0.00 4690.10 3050 0.00
