Time_panda2 bufferSize_panda2 hasThroughput_panda2 estimatedBW_panda2 videoLevel_panda2 tcpThroughput_panda2
0.20 16 6631.00 4904.77 4250 0.00
0.20 17 1515.00 4869.22 4250 0.00
0.20 16 6287.00 4869.22 4250 0.00
0.20 17 1048.00 4840.78 4250 0.00
0.20 16 5238.00 4840.78 4250 0.00
0.20 17 0.00 4818.63 4250 0.00
0.21 16 4567.00 4818.63 4250 0.00
0.21 17 0.00 4800.30 4250 0.00
0.21 16 4038.00 4800.30 4250 0.00
0.21 17 0.00 4785.64 4250 0.00
0.21 16 4190.00 4785.64 4250 0.00
0.21 17 0.00 4773.91 4250 0.00
0.21 16 4190.00 4773.91 4250 0.00
0.21 17 0.00 4765.13 4250 0.00
0.21 16 4190.00 4765.13 4250 0.00
0.21 17 0.00 4757.50 4250 0.00
0.22 16 4190.00 4757.50 4250 0.00
0.22 17 0.00 4751.40 4250 0.00
0.22 16 4190.00 4751.40 4250 0.00
0.22 17 0.00 4747.13 4250 0.00
0.22 16 4190.00 4747.13 4250 0.00
0.22 17 0.00 4743.10 4250 0.00
0.22 16 3354.00 4743.10 4250 0.00
0.22 17 0.00 4739.88 4250 0.00
0.22 16 3428.00 4739.88 4250 0.00
0.23 17 0.00 4737.30 4250 0.00
0.23 16 3493.00 4737.30 4250 0.00
0.23 17 0.00 4735.24 4250 0.00
0.23 16 3551.00 4735.24 4250 0.00
0.23 17 0.00 4733.59 4250 0.00
0.23 16 3608.00 4733.59 4250 0.00
0.23 17 0.00 4732.27 4250 0.00
0.23 16 3657.00 4732.27 4250 0.00
0.23 17 0.00 4731.22 4250 0.00
0.23 16 3702.00 4731.22 4250 0.00
0.23 17 0.00 4730.38 4250 0.00
0.24 16 3756.00 4730.38 4250 0.00
0.24 17 0.00 4730.30 4250 0.00
0.24 16 3801.00 4730.30 4250 0.00
0.24 17 0.00 4729.64 4250 0.00
0.24 16 3837.00 4729.64 4250 0.00
0.24 17 0.00 4729.11 4250 0.00
0.24 16 3878.00 4729.11 4250 0.00
0.24 17 0.00 4728.69 4250 0.00
0.24 16 3915.00 4728.69 4250 0.00
0.24 17 0.00 4728.35 4250 0.00
0.25 16 3956.00 4728.35 4250 0.00
0.25 17 0.00 4728.69 4250 0.00
0.25 16 3993.00 4728.69 4250 0.00
0.25 17 0.00 4728.34 4250 0.00
0.25 16 4026.00 4728.34 4250 0.00
0.25 17 0.00 4728.08 4250 0.00
0.25 16 4063.00 4728.08 4250 0.00
0.25 17 0.00 4727.86 4250 0.00
0.25 16 4088.00 4727.86 4250 0.00
0.26 17 0.00 4727.69 4250 0.00
0.26 16 4124.00 4727.69 4250 0.00
0.26 17 0.00 4727.55 4250 0.00
0.26 16 4153.00 4727.55 4250 0.00
0.26 17 0.00 4727.44 4250 0.00
0.26 16 4190.00 4727.44 4250 0.00
0.26 17 0.00 4727.96 4250 0.00
0.26 16 4190.00 4727.96 4250 0.00
0.26 17 0.00 4727.76 4250 0.00
0.26 16 4190.00 4727.76 4250 0.00
0.27 17 0.00 4727.61 4250 0.00
0.27 16 4190.00 4727.61 4250 0.00
0.27 17 0.00 4728.09 4250 0.00
0.27 16 4190.00 4728.09 4250 0.00
0.27 17 0.00 4727.87 4250 0.00
0.27 16 4190.00 4727.87 4250 0.00
0.27 17 0.00 4727.70 4250 0.00
0.27 16 4190.00 4727.70 4250 0.00
0.27 17 0.00 4728.16 4250 0.00
0.27 16 4190.00 4728.16 4250 0.00
0.28 17 0.00 4727.92 4250 0.00
0.28 16 4190.00 4727.92 4250 0.00
0.28 17 0.00 4727.74 4250 0.00
0.28 16 4190.00 4727.74 4250 0.00
0.28 17 0.00 4727.59 4250 0.00
0.28 16 4190.00 4727.59 4250 0.00
0.28 17 0.00 4727.47 4250 0.00
0.28 16 4190.00 4727.47 4250 0.00
0.28 17 0.00 4727.98 4250 0.00
0.28 16 4190.00 4727.98 4250 0.00
0.28 17 0.00 4727.78 4250 0.00
0.29 16 4190.00 4727.78 4250 0.00
0.29 17 0.00 4727.63 4250 0.00
0.29 16 4190.00 4727.63 4250 0.00
0.29 17 0.00 4728.10 4250 0.00
0.29 16 4190.00 4728.10 4250 0.00
0.29 17 0.00 4727.88 4250 0.00
0.29 16 4190.00 4727.88 4250 0.00
0.29 17 0.00 4727.70 4250 0.00
0.29 16 4190.00 4727.70 4250 0.00
0.29 17 0.00 4727.56 4250 0.00
0.30 16 4190.00 4727.56 4250 0.00
0.30 17 0.00 4728.05 4250 0.00
0.30 16 4190.00 4728.05 4250 0.00
0.30 17 0.00 4727.84 4250 0.00
