Time_panda2 bufferSize_panda2 hasThroughput_panda2 estimatedBW_panda2 videoLevel_panda2 tcpThroughput_panda2
0.20 22 0.00 4170.99 3050 0.00
0.20 21 2068.00 4170.99 3050 0.00
0.20 20 4780.00 4170.99 3050 0.00
0.20 21 0.00 4130.64 3050 0.00
0.20 20 2682.00 4130.64 3050 0.00
0.20 19 5124.00 4130.64 3050 0.00
0.21 20 0.00 3984.02 3050 0.00
0.21 19 3141.00 3984.02 3050 0.00
0.21 18 5574.00 3984.02 3050 0.00
0.21 19 0.00 3762.64 3050 0.00
0.21 18 3592.00 3762.64 3050 0.00
0.21 19 0.00 3548.87 3050 0.00
0.21 18 1048.00 3548.87 3050 0.00
0.21 17 4190.00 3548.87 3050 0.00
0.21 18 0.00 3355.33 3050 0.00
0.21 17 1556.00 3355.33 3050 0.00
0.22 16 4186.00 3355.33 3050 0.00
0.22 17 0.00 3178.68 3050 0.00
0.22 16 2031.00 3178.68 3050 0.00
0.22 15 4558.00 3178.68 3050 0.00
0.22 16 0.00 3009.18 1950 0.00
0.22 15 3731.00 3009.18 1950 0.00
0.22 18 38.00 2961.86 1950 0.00
0.22 19 0.00 2992.23 1950 0.00
0.22 20 0.00 3045.49 1950 0.00
0.23 21 0.00 3115.85 1950 0.00
0.23 20 2654.00 3115.85 1950 0.00
0.23 21 720.00 3199.90 1950 0.00
0.23 22 0.00 3294.88 1950 0.00
0.23 21 2093.00 3294.88 1950 0.00
0.23 22 0.00 3398.59 1950 0.00
0.23 23 0.00 3508.57 1950 0.00
0.23 22 1662.00 3508.57 1950 0.00
0.23 23 0.00 3624.62 1950 0.00
0.23 22 0.00 3624.62 3050 0.00
0.23 21 4706.00 3624.62 3050 0.00
0.24 22 0.00 3745.44 3050 0.00
0.24 21 2093.00 3745.44 3050 0.00
0.24 22 0.00 3886.55 3050 0.00
0.24 21 0.00 3886.55 3050 0.00
0.24 20 5754.00 3886.55 3050 0.00
0.24 21 0.00 4043.49 3050 0.00
0.24 20 2490.00 4043.49 3050 0.00
0.24 19 5226.00 4043.49 3050 0.00
0.24 20 0.00 3918.25 3050 0.00
0.24 19 2154.00 3918.25 3050 0.00
0.25 18 5238.00 3918.25 3050 0.00
0.25 19 0.00 3652.75 3050 0.00
0.25 18 2555.00 3652.75 3050 0.00
0.25 17 5791.00 3652.75 3050 0.00
0.25 18 1048.00 3484.72 3050 0.00
0.25 17 3137.00 3484.72 3050 0.00
0.25 16 6025.00 3484.72 3050 0.00
0.25 17 1048.00 3279.89 3050 0.00
0.25 16 3317.00 3279.89 3050 0.00
0.26 17 0.00 3135.87 3050 0.00
0.26 16 1548.00 3135.87 3050 0.00
0.26 15 4108.00 3135.87 3050 0.00
0.26 16 0.00 2986.21 1950 0.00
0.26 15 2342.00 2986.21 1950 0.00
0.26 16 570.00 2793.85 1950 0.00
0.26 17 0.00 2701.49 1950 0.00
0.26 18 1020.00 2672.42 1950 0.00
0.26 19 0.00 2678.09 1950 0.00
0.26 20 0.00 2710.35 1950 0.00
0.27 19 3444.00 2710.35 1950 0.00
0.27 20 1048.00 2759.28 1950 0.00
0.27 21 0.00 2825.37 1950 0.00
0.27 22 0.00 2902.33 1950 0.00
0.27 21 2121.00 2902.33 1950 0.00
0.27 22 0.00 2984.12 1950 0.00
0.27 23 0.00 3066.02 1950 0.00
0.27 22 2695.00 3066.02 1950 0.00
0.27 23 0.00 3147.64 1950 0.00
