Time_proposed2 bufferSize_proposed2 hasThroughput_proposed2 estimatedBW_proposed2 videoLevel_proposed2 tcpThroughput_proposed2
0.20 21 0.00 4333.48 3050 0.00
0.20 20 4530.00 4333.48 3050 0.00
0.20 21 1048.00 4487.34 3050 0.00
0.20 20 5230.00 4487.34 3050 0.00
0.20 21 0.00 4505.73 3050 0.00
0.20 20 3031.00 4505.73 3050 0.00
0.20 19 5963.00 4505.73 3050 0.00
0.20 20 1048.00 4187.50 3050 0.00
0.21 19 3137.00 4187.50 3050 0.00
0.21 18 6094.00 4187.50 3050 0.00
0.21 19 1048.00 3832.21 3050 0.00
0.21 18 3145.00 3832.21 3050 0.00
0.21 17 5824.00 3832.21 3050 0.00
0.21 18 1048.00 3563.59 3050 0.00
0.21 17 3760.00 3563.59 3050 0.00
0.21 18 0.00 3321.83 3050 0.00
0.21 17 1048.00 3321.83 3050 0.00
0.21 16 4186.00 3321.83 3050 0.00
0.22 17 0.00 3172.46 3050 0.00
0.22 16 2027.00 3172.46 3050 0.00
0.22 15 4194.00 3172.46 3050 0.00
0.22 16 0.00 3006.14 1950 0.00
0.22 15 2683.00 3006.14 1950 0.00
0.22 16 2093.00 2819.12 1950 0.00
0.22 17 2875.00 2730.41 1950 0.00
0.22 18 3444.00 2688.42 1950 0.00
0.22 19 3600.00 2683.75 1950 0.00
0.23 20 2523.00 2707.23 1950 0.00
0.23 21 2936.00 3105.92 1950 0.00
0.23 22 1785.00 3440.97 1950 0.00
0.23 23 0.00 3729.64 1950 0.00
0.23 22 2093.00 3729.64 3050 0.00
0.23 23 0.00 3980.45 3050 0.00
0.23 22 570.00 3980.45 3050 0.00
0.23 21 5238.00 3980.45 3050 0.00
0.23 22 0.00 4105.75 3050 0.00
0.23 21 5222.00 4105.75 3050 0.00
0.23 22 0.00 4252.25 3050 0.00
0.24 23 0.00 4405.37 3050 0.00
0.24 22 1339.00 4405.37 3050 0.00
0.24 23 0.00 5189.01 3050 0.00
0.24 22 1699.00 5189.01 4250 0.00
0.24 23 0.00 5712.13 4250 0.00
0.24 22 0.00 5712.13 4250 0.00
0.24 21 3346.00 5712.13 4250 0.00
0.24 20 6348.00 5712.13 4250 0.00
0.24 21 0.00 5509.89 4250 0.00
0.24 20 347.00 5509.89 4250 0.00
0.25 19 3563.00 5509.89 4250 0.00
0.25 18 6242.00 5509.89 4250 0.00
0.25 17 8347.00 5509.89 4250 0.00
0.25 18 827.00 4597.37 4250 0.00
0.25 17 3637.00 4597.37 4250 0.00
0.25 16 6062.00 4597.37 4250 0.00
0.25 15 8175.00 4597.37 4250 0.00
0.25 16 1302.00 3984.34 3050 0.00
0.25 15 4128.00 3984.34 3050 0.00
0.26 16 0.00 3612.93 3050 0.00
0.26 15 2093.00 3612.93 3050 0.00
0.26 14 4186.00 3612.93 3050 0.00
0.26 15 0.00 3322.41 3050 0.00
0.26 14 2252.00 3322.41 3050 0.00
0.26 13 4669.00 3322.41 3050 0.00
0.26 14 2093.00 3094.66 3050 0.00
0.26 15 197.00 3006.67 1950 0.00
0.26 16 1048.00 2981.58 1950 0.00
0.26 17 1462.00 2990.84 1950 0.00
0.27 18 2093.00 3028.52 1950 0.00
0.27 19 2093.00 3087.72 1950 0.00
0.27 20 1671.00 3164.46 1950 0.00
0.27 21 72.00 3256.15 1950 0.00
0.27 22 0.00 3359.98 1950 0.00
0.27 21 2772.00 3359.98 1950 0.00
0.27 22 1077.00 3473.38 1950 0.00
0.27 23 0.00 3590.55 1950 0.00
0.27 22 1908.00 3590.55 3050 0.00
0.27 23 0.00 4428.96 3050 0.00
0.28 22 801.00 4428.96 3050 0.00
0.28 21 5955.00 4428.96 3050 0.00
0.28 22 403.00 4762.58 3050 0.00
0.28 23 0.00 5070.73 3050 0.00
0.28 22 420.00 5070.73 4250 0.00
0.28 21 5284.00 5070.73 4250 0.00
0.28 22 0.00 5147.68 4250 0.00
0.28 21 1409.00 5147.68 4250 0.00
0.28 22 0.00 5265.04 4250 0.00
0.28 21 343.00 5265.04 4250 0.00
0.28 20 6451.00 5265.04 4250 0.00
0.29 21 0.00 5353.55 4250 0.00
0.29 20 4776.00 5353.55 4250 0.00
0.29 21 0.00 5325.66 4250 0.00
0.29 20 1073.00 5325.66 4250 0.00
0.29 19 7348.00 5325.66 4250 0.00
0.29 20 1048.00 5359.17 4250 0.00
0.29 21 0.00 5435.57 4250 0.00
0.29 20 1458.00 5435.57 4250 0.00
0.29 21 0.00 5539.05 4250 0.00
0.29 20 3973.00 5539.05 4250 0.00
0.30 21 0.00 5656.82 4250 0.00
0.30 20 3141.00 5656.82 4250 0.00
0.30 21 0.00 5710.10 4250 0.00
0.30 20 2543.00 5710.10 4250 0.00
