Time BufferSize VideoLevel DownloadTime RequestInterval BufferVariation
135.00 19.00 4250 1.82 0.46 -0.29
136.00 18.00 4250 1.82 0.46 -0.29
137.00 17.00 4250 1.82 0.46 -0.29
138.00 18.00 4250 1.82 0.49 -0.32
139.00 17.00 4250 1.82 0.49 -0.32
140.00 18.00 4250 1.82 0.52 -0.34
141.00 17.00 4250 1.82 0.52 -0.34
142.00 18.00 4250 0.99 0.52 0.50
143.00 19.00 4250 0.99 0.70 0.31
144.00 18.00 4250 0.99 0.70 0.31
145.00 19.00 4250 0.99 0.68 0.33
146.00 20.00 4250 0.99 0.66 0.36
147.00 19.00 4250 0.99 0.66 0.36
148.00 20.00 4250 0.99 0.82 0.19
149.00 19.00 4250 0.99 0.82 0.19
150.00 20.00 4250 0.99 0.79 0.22
151.00 19.00 4250 0.99 0.79 0.22
152.00 20.00 4250 0.99 0.75 0.26
153.00 21.00 4250 0.99 0.72 0.29
154.00 20.00 4250 0.99 0.72 0.29
155.00 21.00 4250 0.99 0.88 0.13
156.00 20.00 4250 0.99 0.88 0.13
157.00 21.00 4250 0.99 0.84 0.17
158.00 20.00 4250 0.99 0.84 0.17
159.00 21.00 4250 0.99 0.81 0.20
160.00 20.00 4250 0.99 0.81 0.20
161.00 21.00 4250 0.99 0.77 0.24
162.00 20.00 4250 0.99 0.77 0.24
163.00 21.00 4250 1.82 0.60 -0.42
164.00 20.00 4250 1.82 0.60 -0.42
165.00 19.00 4250 1.82 0.60 -0.42
166.00 20.00 4250 1.82 0.67 -0.49
167.00 19.00 4250 1.82 0.67 -0.49
168.00 20.00 4250 1.82 0.73 -0.55
169.00 19.00 4250 1.82 0.73 -0.55
170.00 18.00 4250 1.82 0.73 -0.55
171.00 19.00 4250 1.82 0.58 -0.40
172.00 18.00 4250 1.82 0.58 -0.40
173.00 19.00 4250 1.82 0.62 -0.45
174.00 18.00 4250 1.82 0.62 -0.45
175.00 17.00 4250 1.82 0.62 -0.45
176.00 18.00 4250 1.82 0.46 -0.28
177.00 17.00 4250 1.82 0.46 -0.28
178.00 18.00 4250 1.82 0.49 -0.31
179.00 17.00 4250 1.82 0.49 -0.31
180.00 18.00 4250 1.82 0.51 -0.34
181.00 17.00 4250 1.82 0.51 -0.34
182.00 18.00 4250 0.99 0.51 0.50
183.00 19.00 4250 0.99 0.70 0.31
184.00 18.00 4250 0.99 0.70 0.31
185.00 19.00 4250 0.99 0.68 0.33
186.00 20.00 4250 0.99 0.65 0.36
187.00 19.00 4250 0.99 0.65 0.36
188.00 20.00 4250 0.99 0.82 0.19
189.00 19.00 4250 0.99 0.82 0.19
190.00 20.00 4250 0.99 0.79 0.22
191.00 19.00 4250 0.99 0.79 0.22
192.00 20.00 4250 0.99 0.75 0.26
193.00 21.00 4250 0.99 0.72 0.30
194.00 20.00 4250 0.99 0.72 0.30
195.00 21.00 4250 0.99 0.88 0.13
196.00 20.00 4250 0.99 0.88 0.13
197.00 21.00 4250 0.99 0.84 0.17
198.00 20.00 4250 0.99 0.84 0.17
199.00 21.00 4250 0.99 0.81 0.20
200.00 20.00 4250 0.99 0.81 0.20
201.00 21.00 4250 1.01 0.77 0.21
202.00 20.00 4250 1.01 0.77 0.21
203.00 21.00 4250 1.82 0.60 -0.43
204.00 20.00 4250 1.82 0.60 -0.43
205.00 19.00 4250 1.82 0.60 -0.43
206.00 20.00 4250 1.82 0.67 -0.49
207.00 19.00 4250 1.82 0.67 -0.49
208.00 20.00 4250 1.82 0.53 -0.35
209.00 19.00 4250 1.82 0.53 -0.35
210.00 18.00 4250 1.82 0.53 -0.35
211.00 19.00 4250 1.82 0.58 -0.40
212.00 18.00 4250 1.82 0.58 -0.40
213.00 19.00 4250 1.82 0.62 -0.45
