Time_proposed bufferSize_proposed hasThroughput_proposed estimatedBW_proposed videoLevel_proposed tcpThroughput_proposed
0.14 10 3858.00 3275.86 3050 0.00
0.14 9 6049.00 3275.86 3050 0.00
0.14 10 2093.00 3030.00 1950 0.00
0.14 11 1331.00 2929.50 1950 0.00
0.14 12 2134.00 2904.31 1950 0.00
0.14 13 2797.00 2913.12 1950 0.00
0.14 14 3215.00 2949.09 1950 0.00
0.14 17 0.00 3081.94 1950 0.00
0.15 18 853.00 3170.97 1950 0.00
0.15 19 2109.00 3271.13 1950 0.00
0.15 20 1532.00 3380.22 1950 0.00
0.15 21 0.00 3492.53 1950 0.00
0.15 22 0.00 3606.22 1950 0.00
0.15 21 1282.00 3606.22 3050 0.00
0.15 22 0.00 4396.42 3050 0.00
0.15 21 3239.00 4396.42 3050 0.00
0.15 22 0.00 4822.63 3050 0.00
0.15 21 5648.00 4822.63 3050 0.00
0.16 22 0.00 5199.49 3050 0.00
0.16 21 6037.00 5199.49 4250 0.00
0.16 22 0.00 5538.46 4250 0.00
0.16 21 2547.00 5538.46 4250 0.00
0.16 20 6803.00 5538.46 4250 0.00
0.16 21 0.00 5535.12 4250 0.00
0.16 20 3035.00 5535.12 4250 0.00
0.16 19 5759.00 5535.12 4250 0.00
0.16 18 7999.00 5535.12 4250 0.00
0.17 19 0.00 5003.48 4250 0.00
0.17 18 3141.00 5003.48 4250 0.00
0.17 17 5238.00 5003.48 4250 0.00
0.17 16 7335.00 5003.48 4250 0.00
0.17 17 0.00 4418.28 4250 0.00
0.17 16 2854.00 4418.28 4250 0.00
0.17 15 4993.00 4418.28 4250 0.00
0.17 14 7131.00 4418.28 4250 0.00
0.17 15 514.00 4068.87 3050 0.00
0.17 14 3137.00 4068.87 3050 0.00
0.17 13 5226.00 4068.87 3050 0.00
0.18 14 1048.00 3629.91 3050 0.00
0.18 13 3170.00 3629.91 3050 0.00
0.18 12 6086.00 3629.91 3050 0.00
0.18 13 2093.00 3369.37 3050 0.00
0.18 12 4182.00 3369.37 3050 0.00
0.18 13 1269.00 3160.57 3050 0.00
0.18 14 0.00 3081.63 3050 0.00
0.18 13 4235.00 3081.63 3050 0.00
0.18 14 2916.00 3063.76 3050 0.00
0.18 15 1048.00 3094.77 3050 0.00
0.19 14 5943.00 3094.77 3050 0.00
0.19 15 3842.00 3164.86 3050 0.00
0.19 16 1048.00 3266.20 3050 0.00
0.19 17 0.00 3392.16 3050 0.00
0.19 16 4583.00 3392.16 3050 0.00
0.19 17 3018.00 3532.64 3050 0.00
0.19 18 0.00 3684.13 3050 0.00
0.19 19 0.00 3841.25 3050 0.00
0.19 18 4726.00 3841.25 3050 0.00
0.20 19 1446.00 3999.74 3050 0.00
