Time2 BufferSize2 VideoLevel2 DownloadTime2 RequestInterval2 BufferVariation2, PreviousQuality2
178.00 17.00 3050 2.52 0.73 -1.25 3050
179.00 16.00 3050 2.52 0.73 -1.25 3050
180.00 17.00 1950 2.53 0.00 -0.53 3050
181.00 18.00 1950 1.32 0.00 0.68 1950
182.00 19.00 1950 0.60 0.15 1.25 1950
183.00 22.00 1950 0.48 0.72 0.80 1950
184.00 21.00 1950 0.48 0.72 0.80 1950
185.00 22.00 1950 0.48 0.69 0.83 1950
186.00 23.00 1950 0.48 0.85 0.67 1950
187.00 24.00 1950 0.57 1.00 0.43 1950
188.00 23.00 1950 0.57 1.00 0.43 1950
189.00 24.00 1950 0.68 0.94 0.38 1950
190.00 23.00 1950 0.68 0.94 0.38 1950
191.00 24.00 1950 0.77 1.49 -0.26 1950
192.00 23.00 3050 0.77 1.49 -0.26 1950
193.00 24.00 3050 0.72 1.38 -0.10 3050
194.00 23.00 3050 0.72 1.38 -0.10 3050
195.00 24.00 3050 1.11 1.28 -0.39 3050
196.00 23.00 3050 1.11 1.28 -0.39 3050
197.00 24.00 3050 0.72 1.18 0.10 3050
198.00 23.00 3050 0.72 1.18 0.10 3050
199.00 24.00 3050 0.72 1.09 0.19 3050
200.00 23.00 3050 0.72 1.09 0.19 3050
201.00 24.00 3050 1.08 1.03 -0.11 3050
202.00 23.00 3050 1.08 1.03 -0.11 3050
203.00 22.00 3050 1.08 1.03 -0.11 3050
204.00 23.00 3050 1.85 0.87 -0.72 3050
205.00 22.00 3050 1.85 0.87 -0.72 3050
206.00 21.00 3050 1.85 0.87 -0.72 3050
207.00 22.00 3050 1.99 0.86 -0.84 3050
208.00 21.00 3050 1.99 0.86 -0.84 3050
209.00 20.00 3050 1.99 0.86 -0.84 3050
210.00 21.00 3050 2.00 0.83 -0.83 3050
211.00 20.00 3050 2.00 0.83 -0.83 3050
212.00 19.00 3050 2.00 0.83 -0.83 3050
213.00 20.00 3050 2.15 0.76 -0.91 3050
214.00 19.00 3050 2.15 0.76 -0.91 3050
215.00 18.00 3050 2.15 0.76 -0.91 3050
216.00 19.00 3050 2.11 0.64 -0.75 3050
217.00 18.00 3050 2.11 0.64 -0.75 3050
218.00 17.00 3050 2.11 0.64 -0.75 3050
219.00 18.00 3050 2.21 0.49 -0.70 3050
220.00 17.00 3050 2.21 0.49 -0.70 3050
221.00 18.00 3050 2.13 0.55 -0.67 3050
222.00 17.00 3050 2.13 0.55 -0.67 3050
223.00 18.00 3050 1.01 0.55 0.44 3050
224.00 19.00 3050 0.72 0.73 0.55 3050
225.00 18.00 3050 0.72 0.73 0.55 3050
226.00 19.00 3050 0.72 0.89 0.39 3050
227.00 20.00 3050 0.72 0.83 0.45 3050
228.00 19.00 3050 0.72 0.83 0.45 3050
229.00 20.00 3050 0.72 0.75 0.52 3050
230.00 21.00 3050 0.72 0.88 0.40 3050
231.00 20.00 3050 0.72 0.88 0.40 3050
232.00 21.00 3050 0.72 0.80 0.48 3050
233.00 22.00 3050 0.72 0.93 0.35 3050
234.00 21.00 3050 0.72 0.93 0.35 3050
